"station_ID","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","Gustkmh","P0hPa","PseahPa","PTnd","Precmm","Nt","Nh","HKm","Viskm","InsoD1","Snowcm","pr6","pr12","pr24"
6260,2023-12-31 23:00:00,8.6,5,"78",NA,NA,"SSW",28.8,54,995.5,995.9,0.1,"0.0/1h",8,8,0.6,35,NA,NA,NA,NA,NA
6260,2023-12-31 22:00:00,8.1,5.6,"84",NA,NA,"SSW",25.2,50.4,995.1,995.5,0.1,"0.2/1h",8,6,0.6,30,NA,NA,NA,NA,NA
6260,2023-12-31 21:00:00,8.2,5.6,"84",NA,NA,"SSW",25.2,54,994.9,995.4,0.1,"0.0/1h",8,6,1,40,NA,NA,NA,NA,NA
6260,2023-12-31 20:00:00,8.6,5,"78",NA,NA,"SSW",25.2,46.8,994.7,995.1,0.1,"0.0/1h",8,6,0.6,40,NA,NA,NA,NA,NA
6260,2023-12-31 19:00:00,8.6,5.1,"79",NA,NA,"SSW",21.6,39.6,994.5,995,0.1,"0.0/1h",8,6,0.6,30,NA,NA,NA,NA,NA
6260,2023-12-31 18:00:00,9,4.6,"74","9.5",NA,"SSW",32.4,57.6,994.2,994.5,0,"3.0/12h",8,5,1,40,NA,NA,NA,3,NA
6260,2023-12-31 17:00:00,8.9,4.9,"76",NA,NA,"SSW",25.2,50.4,994,994.4,0,"0.0/1h",8,5,1,35,NA,NA,NA,NA,NA
6260,2023-12-31 16:00:00,9.3,4.3,"71",NA,NA,"S",21.6,36,993.8,994.3,0,"0.0/1h",8,8,1,40,NA,NA,NA,NA,NA
6260,2023-12-31 15:00:00,9.1,4.4,"72",NA,NA,"S",21.6,54,993.8,994.1,0,"0.0/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2023-12-31 14:00:00,9.3,4.5,"72",NA,NA,"SSW",28.8,54,993.9,994.3,0.1,"0.0/1h",7,6,1,40,NA,NA,NA,NA,NA
6260,2023-12-31 13:00:00,8.8,5.1,"78",NA,NA,"SSW",28.8,50.4,993.8,994.2,0,"0.0/1h",8,5,1.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 12:00:00,8.1,5.8,"85",NA,NA,"SW",25.2,61.2,993.7,994.1,0.1,"3.0/6h",8,6,0.6,45,NA,NA,3,NA,NA
6260,2023-12-31 11:00:00,9,6.6,"85",NA,NA,"S",25.2,39.6,993.3,993.5,0,"0.1/1h",8,5,0.6,30,NA,NA,NA,NA,NA
6260,2023-12-31 10:00:00,8.1,6.7,"91",NA,NA,"SW",14.4,36,993.9,994.2,-0.1,"2.0/1h",8,6,0.6,25,NA,NA,NA,NA,NA
6260,2023-12-31 09:00:00,9.3,6.8,"84",NA,NA,"SSE",18,36,993,993.4,-0.2,"0.1/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2023-12-31 08:00:00,9.3,6.1,"80",NA,NA,"SSE",21.6,36,993.6,994,-0.3,"0.0/1h",8,6,1,45,NA,NA,NA,NA,NA
6260,2023-12-31 07:00:00,9,5.8,"80",NA,NA,"SSE",21.6,32.4,994.4,994.8,-0.3,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 06:00:00,9.3,5.7,"78",NA,"8.7","SSE",21.6,39.6,995.5,995.7,-0.4,"0.0/24h0.0/12h",8,8,1.5,45,NA,NA,NA,0,0
6260,2023-12-31 05:00:00,9.1,5.7,"79",NA,NA,"SSE",21.6,36,996.5,996.8,-0.4,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 04:00:00,9.1,5.7,"79",NA,NA,"SSE",21.6,36,998,998.2,-0.4,"0.0/1h",8,8,1.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 03:00:00,9.1,5.8,"80",NA,NA,"SSE",18,32.4,999.5,999.8,-0.3,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 02:00:00,8.9,6.2,"83",NA,NA,"SSE",14.4,25.2,1000.7,1001,-0.3,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-31 01:00:00,8.9,6.8,"87",NA,NA,"SSE",14.4,28.8,1001.9,1002.2,-0.3,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-31,9.2,7.3,"88",NA,NA,"SSE",18,32.4,1003,1003.3,-0.3,"0.0/6h",8,8,1.5,45,NA,NA,0,NA,NA
6260,2023-12-30 23:00:00,9.2,7.7,"90",NA,NA,"S",18,32.4,1004,1004.4,-0.2,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-30 22:00:00,9.4,7.6,"89",NA,NA,"S",18,32.4,1004.8,1005.1,-0.2,"0.0/1h",8,7,0.3,45,NA,NA,NA,NA,NA
6260,2023-12-30 21:00:00,9.3,7.2,"87",NA,NA,"S",18,32.4,1005.8,1006.1,-0.2,"0.0/1h",8,8,1.5,45,NA,NA,NA,NA,NA
6260,2023-12-30 20:00:00,9.3,6.7,"84",NA,NA,"S",18,28.8,1006.6,1006.9,-0.2,"0.0/1h",8,8,1.5,45,NA,NA,NA,NA,NA
6260,2023-12-30 19:00:00,9.2,6.4,"83",NA,NA,"S",18,28.8,1007.2,1007.5,-0.2,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2023-12-30 18:00:00,9.6,6.5,"81","9.7",NA,"S",21.6,36,1008.2,1008.5,-0.1,"0.0/12h",8,8,1,45,NA,NA,NA,0,NA
6260,2023-12-30 17:00:00,9.5,6.6,"82",NA,NA,"S",14.4,28.8,1008.6,1009,-0.1,"0.0/1h",8,8,0.6,45,NA,NA,NA,NA,NA
6260,2023-12-30 16:00:00,9.3,6.7,"84",NA,NA,"S",14.4,28.8,1008.9,1009.2,-0.2,"0.0/1h",8,8,0.6,45,NA,NA,NA,NA,NA
6260,2023-12-30 15:00:00,9,6.6,"85",NA,NA,"S",14.4,32.4,1009.3,1009.7,-0.2,"0.0/1h",8,8,2.5,30,NA,NA,NA,NA,NA
6260,2023-12-30 14:00:00,9.4,6.7,"83",NA,NA,"S",18,28.8,1009.8,1010.1,-0.2,"0.0/1h",8,6,0.3,27,NA,NA,NA,NA,NA
6260,2023-12-30 13:00:00,9.1,7.2,"88",NA,NA,"S",14.4,28.8,1010.5,1010.8,-0.1,"0.0/1h",8,7,1,16,NA,NA,NA,NA,NA
6260,2023-12-30 12:00:00,8.6,6.7,"88",NA,NA,"SSW",14.4,28.8,1011.3,1011.6,0,"0.0/6h",8,8,0.3,19,NA,NA,0,NA,NA
6260,2023-12-30 11:00:00,8.2,6,"86",NA,NA,"SSW",14.4,25.2,1011.6,1012,0,"0.0/1h",8,8,2.5,27,NA,NA,NA,NA,NA
6260,2023-12-30 10:00:00,7.3,5.6,"89",NA,NA,"SSW",14.4,25.2,1011.8,1012.2,0.1,"0.0/1h",8,8,2,24,NA,NA,NA,NA,NA
6260,2023-12-30 09:00:00,6.8,5.2,"90",NA,NA,"SW",14.4,32.4,1011.6,1012,0.1,"0.0/1h",8,8,2.5,27,NA,NA,NA,NA,NA
6260,2023-12-30 08:00:00,6.5,4.4,"86",NA,NA,"SW",14.4,21.6,1011.2,1011.6,0.1,"0.0/1h",8,5,1,40,NA,NA,NA,NA,NA
6260,2023-12-30 07:00:00,5.6,4.1,"90",NA,NA,"SSW",10.8,21.6,1010.7,1011.1,0.1,"0.0/1h",8,8,2.5,40,NA,NA,NA,NA,NA
6260,2023-12-30 06:00:00,5.8,3.6,"86",NA,"5.6","SW",10.8,25.2,1010.4,1010.8,0.1,"3.6/24h2.0/12h",8,8,2.5,45,NA,NA,NA,2,3.6
6260,2023-12-30 05:00:00,6.3,3.8,"84",NA,NA,"SW",14.4,25.2,1009.8,1010.2,0.1,"0.0/1h",8,8,2.5,40,NA,NA,NA,NA,NA
6260,2023-12-30 04:00:00,6.7,3.4,"79",NA,NA,"SW",14.4,25.2,1009.6,1010,0.1,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
