"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm"
6260,2020-12-31,4.1,6.8,2.2,2.7,90.3,"SW",10.4,28.8,1001.2,3.8,7.6,6.7,21.4
6260,2020-12-30,3.7,5.8,2.4,2.6,92.4,"SW",10.8,28.8,991.5,2.6,7,6.5,14.1
6260,2020-12-29,3.7,5.4,2.7,2.4,91.4,"ESE",7.5,28.8,978.6,6.8,7.9,7.3,19
6260,2020-12-28,4.5,5.9,1.3,3.3,92.3,"S",21.3,75.6,976.8,8.6,7.4,7.1,15.8
6260,2020-12-27,4.9,5.8,3.5,3.4,89.5,"SSW",27.8,72,1008.5,5.4,8,7.8,16.4
6260,2020-12-26,3.2,6.6,-1.1,1.2,86.7,"W",8.1,32.4,1024.7,0,5.3,5.4,29.6
6260,2020-12-25,4.5,7.2,1.5,2.3,85.9,"NNW",10.7,39.6,1016.9,1.1,5.6,5.7,33.8
6260,2020-12-24,10.2,12.3,3.6,8.9,92.4,"SSW",14.7,46.8,1006,16.2,7.9,6.8,21.9
6260,2020-12-23,10,12.9,8.6,9,94.5,"SW",9.3,50.4,1012.5,4.7,NA,7.4,11.8
6260,2020-12-22,9.5,13,4.8,8.9,94.6,"SSW",21,57.6,1008.8,25.5,8,7.4,11.4
6260,2020-12-21,7.8,9.9,4.3,5.8,87.4,"SSW",14.6,36,1016.9,0,6.6,6.8,19.2
6260,2020-12-20,8.9,11.5,5.7,7.1,87.8,"S",16.7,36,1012.4,0.3,7.5,7.3,28.2
6260,2020-12-19,7.7,11,5.1,5.5,86.4,"SSE",17.4,39.6,1015.9,0,6.6,7.2,26.8
6260,2020-12-18,8.3,10.3,5.6,6.6,89.3,"SSW",15.5,36,1018.6,0.3,7.1,7,19.5
6260,2020-12-17,8.1,9.5,4.9,6.9,91.7,"SSE",12.9,28.8,1013.4,3.9,7.9,7.7,15.8
6260,2020-12-16,7.8,10.4,5,7.1,95.9,"S",9.6,25.2,1011.7,0.3,6.8,NA,7.3
6260,2020-12-15,9.9,11.6,8.2,8.5,90.6,"S",15.2,36,1005.5,1.3,7.9,7.5,28.1
6260,2020-12-14,7.2,8.2,5.7,5.4,88.2,"S",15.5,36,1006.8,3.3,8,7.7,21.1
6260,2020-12-13,6.9,8.9,4.9,6.8,98.7,"SSW",5.7,21.6,1000.8,1.6,NA,7.9,1.9
6260,2020-12-12,3.6,4.9,0.8,2.8,93.5,"SE",15,39.6,991.4,1.2,NA,7.8,8
6260,2020-12-11,0.4,2.5,-0.4,-0.9,90.7,"SE",12,32.4,1003.3,0,7,7.6,8.4
6260,2020-12-10,0.9,2.9,-1.5,0.6,97.5,"SSE",11.9,28.8,1008.4,0,NA,NA,3.2
6260,2020-12-09,1.7,4.8,-1.4,1.2,96.1,"ESE",4.2,14.4,1006.1,0,7.8,7.7,4.4
6260,2020-12-08,3.3,5.5,-1,2.4,95.2,"S",10.5,32.4,999.4,4.7,7.4,7.3,4.5
6260,2020-12-07,3,5.4,-0.7,2.3,93.6,"NW",6.6,21.6,999.5,3.5,7.8,7.5,6.8
6260,2020-12-06,1.4,5.6,-2.6,-0.3,88.3,"SE",8,32.4,999.5,0,5.5,6,24.7
6260,2020-12-05,3.6,8,-3,0.2,80.8,"SSE",15.6,50.4,987.3,0.1,4.1,5.4,37.4
6260,2020-12-04,5.3,6.2,4.4,4,91,"SSE",21.3,54,988.5,4.5,8,7.2,16
6260,2020-12-03,5.7,6,5.4,4.6,92.6,"S",8.4,25.2,1011.7,0.1,8,7.2,7.1
6260,2020-12-02,7.7,9.8,5.6,5.5,86.3,"N",13.1,43.2,1018.8,1.9,8,7.5,17
6260,2020-12-01,4.7,8.4,-0.6,4.4,95.8,"SW",14,39.6,1016.9,14.3,8,7.3,4.7
