"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm"
6260,2023-12-31,8.6,9.7,5.6,6.3,84.9,"S",16.7,39.6,1006.4,0,8,7.7,38.5
6260,2023-12-30,8.6,11.4,5.6,5.7,83.1,"SW",17.6,54,1007.1,3.6,6.9,6.2,38.5
6260,2023-12-29,10.8,11.5,9.7,6.8,76.4,"SW",29.4,79.3,1007.4,1.1,7.9,7.1,26.8
6260,2023-12-28,8.8,11,4.5,6.5,84.8,"S",22.2,61.2,1009.4,3.5,8,7.6,36.1
6260,2023-12-27,5.8,10.3,0.6,3.4,86.6,"WSW",11.9,50.4,1017.3,0,7.2,7.6,24.7
6260,2023-12-26,11.2,12.2,8.8,9.2,88.2,"WSW",18.3,57.6,1006.1,18.1,7.6,6.7,28.8
6260,2023-12-25,12.1,12.9,10.8,10.8,91.4,"WSW",25.5,64.8,1003.2,12.7,8,7.5,16.2
6260,2023-12-24,10.5,11.2,9.5,7.6,82.5,"WSW",26,64.8,1006.8,8,8,7.4,33
6260,2023-12-23,9.3,10.9,7.3,6.9,84.8,"W",23.1,68.4,1005.1,11.3,8,6.5,24.2
6260,2023-12-22,9.2,12.2,5.5,5.8,80.2,"W",26.9,75.6,999.2,10.6,7.5,6.2,22.6
6260,2023-12-21,9.3,10.6,7.7,7.1,85.3,"WSW",20.9,50.4,1009,1.9,8,7.1,21.2
6260,2023-12-20,7.9,8.9,6.3,6.7,92.6,"WSW",15.2,46.8,1015.9,9.8,6.9,6.6,17
6260,2023-12-19,7.5,9.2,6.3,6.3,92.2,"SSW",19.2,43.2,1026.2,2.7,8,8,8.9
6260,2023-12-18,8,10.2,6.3,5.5,85,"SW",16.7,36,1033.1,0,5.3,7.1,17.6
6260,2023-12-17,9.2,10.5,6.7,8.2,92.8,"SW",15.3,32.4,1037.2,0,8,7.9,20.2
6260,2023-12-16,8.5,10.2,6.6,4.9,78.6,"SW",11,25.2,1036.1,0,7.4,7.7,31.3
6260,2023-12-15,6,7.4,4.5,4.5,89.4,"SW",8.6,21.6,1023.6,0,8,7.7,24.4
6260,2023-12-14,7.5,9.9,4.8,6.7,95.2,"N",8.7,32.4,1003.8,1.4,8,7.5,11.7
6260,2023-12-13,8.5,10.6,5.3,8,95.9,"S",10.5,25.2,998.4,11.8,7.9,7,18.6
6260,2023-12-12,8.2,10.3,3.9,6.9,92.2,"WSW",13.5,68.4,1004.1,3.5,7.3,5.8,19.2
6260,2023-12-11,9.9,10.9,8,7.2,83.3,"SW",22.1,54,999.6,5.4,6.7,5.9,15.1
6260,2023-12-10,8.6,10.8,6.3,6.3,85.4,"SSW",24.5,64.8,996.8,13.2,7.8,7.4,12.8
6260,2023-12-09,6.3,8.5,2.4,6.1,97.4,"S",12.6,28.8,1007.8,0,7.5,7,5.7
6260,2023-12-08,1.4,2.8,-1,0.3,92.3,"SE",15.5,36,1012.1,0.6,NA,NA,11.6
6260,2023-12-07,1.3,6.6,-3.4,0,92.5,"WSW",6.3,18,1017.2,0,3.6,4.8,16.9
6260,2023-12-06,2,3.9,1.4,1.4,95.7,"NNW",9.6,25.2,1007.2,0.8,8,7.6,6
6260,2023-12-05,2,2.6,1.1,0.2,88.8,"ESE",16.7,36,1002.2,4.9,7.9,7.8,18.6
6260,2023-12-04,0.8,2.5,-1,-1.1,87.2,"SSE",15.8,36,1015.3,2.7,7.6,7.4,12.7
6260,2023-12-03,0.4,2.6,-3.6,-0.4,93.6,"SW",8.9,28.8,1016.4,0,6.5,6.4,5.8
6260,2023-12-02,-1.6,0.8,-3.5,-3.2,89.2,"ENE",5.6,18,1009.6,0,5,6,10
6260,2023-12-01,-0.5,0.9,-1.8,-0.6,99.1,"ENE",5.6,18,1003.4,0,NA,NA,1.7
