"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm"
6260,2024-12-31,6.7,8.2,3.2,5.1,89.7,"SW",17.6,46.8,1026.8,0,8,7.9,13.4
6260,2024-12-30,4.4,6.1,2.9,4.1,97.3,"SSW",13.8,32.4,1028.7,0.9,8,7.8,3
6260,2024-12-29,1.5,3.4,0.1,1.2,97.5,"SSW",8.1,21.6,1028.9,0,NA,NA,2.1
6260,2024-12-28,1.9,3.7,-0.1,1.5,98.1,"S",5.3,18,1032.6,0,7.2,7.6,1.7
6260,2024-12-27,5.5,7.4,3.2,5.2,98.8,"SE",6.9,14.4,1036,0.1,NA,NA,2.4
6260,2024-12-26,8.6,9.6,7.2,8.3,98,"SSW",8.3,25.2,1034.7,0.4,8,7.8,3.3
6260,2024-12-25,6.6,8.6,4.4,6.5,98.4,"SSW",9.6,25.2,1027.5,3.1,NA,8,2.5
6260,2024-12-24,5.5,8.5,2.5,2.7,83.5,"WNW",10.2,54,1019.5,1.5,5.8,6,24.4
6260,2024-12-23,5.4,7.5,3.3,2,79.3,"WNW",17.3,50.4,1001.8,11.2,6.6,5.7,25.9
6260,2024-12-22,8.3,10.2,6.4,5.9,85.4,"SW",20.3,50.4,1004.7,5.3,7.7,7,21.8
6260,2024-12-21,6.4,7.5,4.2,4.2,85.8,"SW",17.1,39.6,1016.3,0.7,8,7.4,26.2
6260,2024-12-20,6.2,12.1,4.4,3.4,83.7,"WNW",13.8,54,1006.7,8.6,5.9,4.5,24
6260,2024-12-19,11.7,13.4,8.6,9.9,87.8,"SSW",25.7,64.8,1004.7,7.7,8,6.8,22.6
6260,2024-12-18,8,9.4,6.4,6.2,88.3,"SSW",15.8,36,1021.6,0.1,8,7.9,25.3
6260,2024-12-17,9.1,10.5,7.1,7.3,89.2,"WSW",15,39.6,1028.6,0.8,7.7,7,27.7
6260,2024-12-16,9.2,11,6.2,8.3,92.9,"WSW",17.6,43.2,1026,0.1,8,8,14.1
6260,2024-12-15,4.7,6.2,2.2,3.7,92.5,"SW",12,32.4,1019.9,2.9,7.7,6.8,18.1
6260,2024-12-14,1.5,2.3,0.5,-0.6,85.8,"S",11.7,25.2,1024.5,0.3,8,7.9,7.5
6260,2024-12-13,3.4,4.5,2.2,2.6,94.8,"E",8,21.6,1030.9,0.4,8,8,6.4
6260,2024-12-12,3.1,3.9,2.4,1.3,88.8,"NE",7.4,25.2,1032.4,0.1,8,8,12.8
6260,2024-12-11,4.8,5.3,3.9,2.1,82.4,"NE",15,36,1031.4,0,8,7.8,29
6260,2024-12-10,5.9,6.9,4.8,3.1,82.7,"NE",20.3,50.4,1028.9,0,8,7.8,39.2
6260,2024-12-09,6.5,7.1,5.8,4.4,86.8,"NNE",16.8,43.2,1017.1,0.2,8,7.1,32.4
6260,2024-12-08,7.6,10.5,6.4,6.1,90.4,"S",19.4,54,992.6,5.1,7.3,6.9,19.6
6260,2024-12-07,7.8,10,4.9,4.8,81.7,"WSW",20.7,64.8,1009.2,2.6,8,7.5,15.6
6260,2024-12-06,7.8,11.1,5.1,6.2,89.1,"SSW",22.7,68.4,1005.2,20.9,8,7.2,12.1
6260,2024-12-05,4.8,5.5,3,3.7,92.2,"S",10.5,36,1024.3,1.2,7.9,7.4,16.4
6260,2024-12-04,4.4,8.3,-0.7,1.8,84.2,"W",7.5,25.2,1021.5,0,6.1,6.3,39.8
6260,2024-12-03,9.1,11.5,5.9,7.5,90.9,"SW",14,32.4,1012.1,6.8,7.5,5.8,24.8
6260,2024-12-02,6.6,10.1,1.7,4.1,83.3,"S",14.9,32.4,1016.3,2.2,7.7,7.6,23.8
6260,2024-12-01,4.9,6.8,0.8,1.8,79.6,"SSE",9.9,25.2,1025.8,0,6.9,6.9,39
