"station_ID","Date","TemperatureCAvg","TemperatureCMax","TemperatureCMin","TdAvgC","HrAvg","WindkmhDir","WindkmhInt","WindkmhGust","PresslevHp","Precmm","TotClOct","lowClOct","VisKm"
6260,2021-12-31,13.4,14.1,12.2,11.4,87.8,"SW",23.6,54,1015,0,8,7.7,26
6260,2021-12-30,10.1,12.2,8.4,9.5,95.4,"SW",14.7,39.6,1006.9,5.4,8,7.9,9.3
6260,2021-12-29,9.1,10.7,8,8.3,95.2,"WSW",15.3,50.4,994.6,6.8,8,7.3,7.7
6260,2021-12-28,6.8,8.9,3.4,6.6,97.7,"SE",12.2,28.8,995.8,1.4,NA,7.6,6.9
6260,2021-12-27,0.5,3.4,-4.8,-1.9,83.1,"ESE",12.3,21.6,1003.8,0.2,7.5,7.5,23.8
6260,2021-12-26,-2.4,0.6,-4.9,-8.2,65.8,"ENE",17,43.2,1009.3,0,2.3,5.6,44.4
6260,2021-12-25,6.1,9.5,0.3,5.2,95.2,"NE",13.7,36,1004.9,4.4,8,7,9
6260,2021-12-24,4.5,9.9,-1,3.6,91.9,"SW",16.4,39.6,1006.2,2.2,8,8,6.4
6260,2021-12-23,-1.4,0,-4.1,-3.1,88.1,"SSE",10.5,28.8,1019.7,0,8,8,12
6260,2021-12-22,-2.5,4.7,-6.1,-3.7,91.6,"ESE",5.4,10.8,1026.4,0.1,2.2,5.9,10.7
6260,2021-12-21,1.2,7.3,-5.2,-1.1,88.2,"NE",4.1,10.8,1028.2,0,3,7.2,16
6260,2021-12-20,6.7,7.2,5.7,5.2,90.5,"NNW",7.8,21.6,1029.9,0.2,8,7.2,12.5
6260,2021-12-19,6,7.1,4.7,6,99.4,"NW",6.3,21.6,1037.9,0.5,NA,7.9,3.4
6260,2021-12-18,7.7,8.6,6.1,7.1,96,"NE",6.3,18,1040.7,0.2,8,7.6,10.2
6260,2021-12-17,6.6,11.8,2.7,6.2,97.1,"W",3.5,14.4,1038.7,0,5.2,6.6,4
6260,2021-12-16,9.1,11,3.9,8.1,94.8,"SW",10.2,28.8,1032,0,7.4,7.2,5.8
6260,2021-12-15,9.3,10,8,8.7,95.5,"SW",13.4,28.8,1027.4,0.7,8,7.9,4.4
6260,2021-12-14,9.3,10.3,7.8,7.3,88,"SSW",12.5,28.8,1026,0,8,7.9,16.1
6260,2021-12-13,9.8,11,6.8,9.4,96.8,"SW",14.4,36,1022.3,1.9,8,7.9,6.6
6260,2021-12-12,5.4,8.6,2.7,4.2,91.5,"SSW",12,36,1017.3,2,7.2,7.3,10.6
6260,2021-12-11,2.5,4.8,-1.2,1,90.7,"ESE",9.3,36,999.4,1.1,8,7.8,16.7
6260,2021-12-10,3.8,5.4,1.7,2.5,90.8,"SSE",14.9,36,999.2,0.2,7.5,7.3,14.3
6260,2021-12-09,4.2,7,1.3,1.6,84.3,"S",16.2,43.2,998.2,0,1.6,4.5,30.9
6260,2021-12-08,4.6,6.5,1.9,2.7,86.8,"SSE",19.5,54,998.9,3.8,7,6.9,21.8
6260,2021-12-07,2.9,5.1,0.5,1.7,92.4,"S",13.4,36,1008.4,8.8,7.2,7.4,8.5
6260,2021-12-06,4.3,5.4,3.1,3.2,92.6,"ESE",8.3,18,1007.1,0,8,7.6,11.3
6260,2021-12-05,4.8,5.7,2.5,3.7,92.9,"SSW",11.6,36,995.7,4,7.9,6.9,13.9
6260,2021-12-04,4.1,4.7,3,3,92.2,"SSW",18.6,54,1002.2,0.3,NA,8,9.6
6260,2021-12-03,2,5.2,-1.8,0.6,90.9,"WSW",9.8,36,1006.7,1.9,5.9,6.7,29.7
6260,2021-12-02,6.6,9.5,2,3.7,83.3,"W",16.2,57.6,994.4,7.9,6.8,5.7,21.8
6260,2021-12-01,9.5,10.6,8.5,8.9,96.4,"SW",18.2,68.4,1002.2,15.4,8,7.2,6.2
