"station_ID","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","Gustkmh","P0hPa","PseahPa","PTnd","Precmm","Nt","Nh","HKm","Viskm","InsoD1","Snowcm","pr6","pr12","pr24"
6260,2022-12-31 23:00:00,15.5,7.3,"58",NA,NA,"SSW",28.8,50.4,1005.5,1005.8,0.8,"0.0/1h",8,8,2,45,NA,NA,NA,NA,NA
6260,2022-12-31 22:00:00,15.5,7.6,"59",NA,NA,"SSW",28.8,54,1005.3,1005.7,1,"0.0/1h",8,8,1,40,NA,NA,NA,NA,NA
6260,2022-12-31 21:00:00,15.6,7.5,"59",NA,NA,"SW",28.8,61.2,1004.8,1005.2,0.6,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2022-12-31 20:00:00,15.5,7.6,"59",NA,NA,"SSW",28.8,61.2,1004.7,1005,0.6,"0.0/1h",8,7,2.5,45,NA,NA,NA,NA,NA
6260,2022-12-31 19:00:00,15.6,8.2,"61",NA,NA,"SSW",25.2,46.8,1004.3,1004.7,NA,"0.0/1h",8,8,1.5,45,NA,NA,NA,NA,NA
6260,2022-12-31 18:00:00,15.6,9,"65","15.7",NA,"SSW",25.2,50.4,1004.2,1004.6,NA,"9.0/12h",8,8,1,45,NA,NA,NA,9,NA
6260,2022-12-31 17:00:00,15.5,9.9,"69",NA,NA,"SSW",28.8,43.2,1004.2,1004.4,NA,"0.0/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2022-12-31 16:00:00,15.6,10.6,"72",NA,NA,"SSW",28.8,46.8,1004.5,1004.8,0.3,"0.0/1h",8,7,1,45,NA,NA,NA,NA,NA
6260,2022-12-31 15:00:00,14.6,11.7,"83",NA,NA,"SW",28.8,54,1004.7,1005.1,0.8,"0.1/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2022-12-31 14:00:00,14.7,12.6,"87",NA,NA,"SW",28.8,46.8,1004.2,1004.6,0.1,"0.5/1h",8,5,0.6,18,NA,NA,NA,NA,NA
6260,2022-12-31 13:00:00,15,12.7,"86",NA,NA,"SSW",32.4,57.6,1004,1004.5,0.2,"0.1/1h",8,6,0.6,23,NA,NA,NA,NA,NA
6260,2022-12-31 12:00:00,15.1,12.9,"87",NA,NA,"SW",28.8,61.2,1004,1004.3,0.4,"8.0/6h",8,6,1,40,NA,NA,8,NA,NA
6260,2022-12-31 11:00:00,15,12.9,"87",NA,NA,"SW",28.8,50.4,1004,1004.5,1.8,"0.0/1h",8,6,0.6,22,NA,NA,NA,NA,NA
6260,2022-12-31 10:00:00,14.2,12.5,"90",NA,NA,"SSW",25.2,46.8,1003.8,1004.3,1.9,"0.0/1h",8,5,0.6,30,NA,NA,NA,NA,NA
6260,2022-12-31 09:00:00,13,12.1,"94",NA,NA,"SW",25.2,50.4,1003.5,1003.9,1.7,"3.0/1h",8,8,0.3,8,NA,NA,NA,NA,NA
