"station_ID","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","Gustkmh","P0hPa","PseahPa","PTnd","Precmm","Nt","Nh","HKm","Viskm","InsoD1","Snowcm","pr6","pr12","pr24"
6260,2021-12-31 23:00:00,11.5,10.1,"91",NA,NA,"SW",14.4,25.2,1021.5,1022,1.1,"0.0/1h",8,8,2.5,7,NA,NA,NA,NA,NA
6260,2021-12-31 22:00:00,12,10.6,"91",NA,NA,"SW",14.4,25.2,1021.3,1021.8,1.4,"0.0/1h",8,8,0.6,8,NA,NA,NA,NA,NA
6260,2021-12-31 21:00:00,12,10.7,"92",NA,NA,"SW",14.4,32.4,1020.9,1021.3,1.8,"0.0/1h",8,8,0.6,8,NA,NA,NA,NA,NA
6260,2021-12-31 20:00:00,12.1,10.7,"91",NA,NA,"WSW",21.6,32.4,1020.5,1020.9,2.3,"0.0/1h",8,8,0.3,10,NA,NA,NA,NA,NA
6260,2021-12-31 19:00:00,11.9,10.9,"94",NA,NA,"WSW",18,32.4,1019.8,1020.4,2.6,"0.0/1h",8,7,0.2,9,NA,NA,NA,NA,NA
6260,2021-12-31 18:00:00,11.7,10.5,"92","13.7",NA,"WSW",21.6,39.6,1019,1019.5,2.1,"0.0/12h",8,8,0.2,11,NA,NA,NA,0,NA
6260,2021-12-31 17:00:00,11.5,10.2,"92",NA,NA,"SW",14.4,25.2,1018.1,1018.6,1.7,"0.0/1h",2,1,0.2,13,NA,NA,NA,NA,NA
6260,2021-12-31 16:00:00,12.1,10.5,"90",NA,NA,"WSW",18,36,1017.3,1017.8,1.5,"0.0/1h",4,3,0.3,17,NA,NA,NA,NA,NA
6260,2021-12-31 15:00:00,12.8,10.7,"87",NA,NA,"SW",21.6,43.2,1016.8,1017.4,1.6,"0.0/1h",8,8,0.3,21,NA,NA,NA,NA,NA
6260,2021-12-31 14:00:00,13.1,10.3,"83",NA,NA,"WSW",18,36,1016.5,1016.9,1.9,"0.0/1h",8,8,0.3,30,NA,NA,NA,NA,NA
6260,2021-12-31 13:00:00,13.1,9.8,"80",NA,NA,"WSW",25.2,50.4,1015.8,1016.3,NA,"0.0/1h",8,8,2,30,NA,NA,NA,NA,NA
6260,2021-12-31 12:00:00,13.5,10,"79",NA,NA,"SW",25.2,46.8,1015.4,1015.8,NA,"0.0/6h",8,8,2,30,NA,NA,0,NA,NA
6260,2021-12-31 11:00:00,13,10,"82",NA,NA,"SSW",21.6,39.6,1015.3,1015,NA,"0.0/1h",8,8,2.5,40,NA,NA,NA,NA,NA
6260,2021-12-31 10:00:00,12.9,9.7,"81",NA,NA,"SW",18,36,1016,1016.3,0.9,"0.0/1h",8,8,1.5,45,NA,NA,NA,NA,NA
6260,2021-12-31 09:00:00,12.9,9.7,"81",NA,NA,"SSW",21.6,43.2,1015.4,1015.8,0.1,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2021-12-31 08:00:00,12.9,9.6,"80",NA,NA,"SW",25.2,43.2,1015.4,1015.8,NA,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2021-12-31 07:00:00,13.2,9.7,"79",NA,NA,"SW",21.6,43.2,1015,1015.4,NA,"0.0/1h",8,8,2.5,45,NA,NA,NA,NA,NA
6260,2021-12-31 06:00:00,13.6,10,"79",NA,"13.1","SW",25.2,46.8,1015.4,1015.7,NA,"0.0/24h0.0/12h",8,8,2.5,45,NA,NA,NA,0,0
6260,2021-12-31 05:00:00,13.9,10.6,"80",NA,NA,"SW",21.6,36,1015.7,1016,NA,"0.0/1h",8,8,0.6,45,NA,NA,NA,NA,NA
6260,2021-12-31 04:00:00,13.8,10.8,"82",NA,NA,"SW",18,32.4,1015.9,1016.3,NA,"0.0/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2021-12-31 03:00:00,14.1,11,"82",NA,NA,"SW",21.6,43.2,1016.2,1016.6,0.2,"0.0/1h",8,8,1,45,NA,NA,NA,NA,NA
6260,2021-12-31 02:00:00,14.1,11.3,"83",NA,NA,"SW",21.6,39.6,1016.3,1016.7,0.3,"0.0/1h",8,8,0.6,21,NA,NA,NA,NA,NA
6260,2021-12-31 01:00:00,14.1,11.1,"82",NA,NA,"SW",25.2,39.6,1016.1,1016.5,NA,"0.0/1h",8,8,1,40,NA,NA,NA,NA,NA
6260,2021-12-31,13.6,11.3,"86",NA,NA,"SW",21.6,46.8,1016,1016.4,NA,"0.0/6h",8,5,0.6,30,NA,NA,0,NA,NA
6260,2021-12-30 23:00:00,13.9,11.4,"85",NA,NA,"SW",25.2,46.8,1015.9,1016.4,0,"0.0/1h",8,7,0.6,30,NA,NA,NA,NA,NA
6260,2021-12-30 22:00:00,13.8,11.3,"85",NA,NA,"SW",25.2,43.2,1016.1,1016.6,0.8,"0.0/1h",8,8,0.6,30,NA,NA,NA,NA,NA
6260,2021-12-30 21:00:00,13.7,11.3,"85",NA,NA,"SW",25.2,54,1016.1,1016.5,1,"0.0/1h",7,7,1,28,NA,NA,NA,NA,NA
6260,2021-12-30 20:00:00,13.2,11.3,"88",NA,NA,"WSW",25.2,46.8,1016,1016.4,1,"0.0/1h",8,8,0.3,18,NA,NA,NA,NA,NA
6260,2021-12-30 19:00:00,13.4,11.6,"89",NA,NA,"WSW",25.2,46.8,1015.4,1015.8,0.7,"0.0/1h",8,8,0.3,22,NA,NA,NA,NA,NA
6260,2021-12-30 18:00:00,13.2,11.8,"91","13.5",NA,"SW",21.6,43.2,1015.1,1015.5,1,"0.0/12h",8,8,0.2,24,NA,NA,NA,0,NA
6260,2021-12-30 17:00:00,13,11.7,"92",NA,NA,"WSW",25.2,43.2,1015,1015.4,1.5,"0.0/1h",8,8,0.2,18,NA,NA,NA,NA,NA
6260,2021-12-30 16:00:00,13.2,12,"92",NA,NA,"WSW",18,36,1014.6,1015.1,1.6,"0.0/1h",8,8,0.2,26,NA,NA,NA,NA,NA
6260,2021-12-30 15:00:00,13.4,12,"91",NA,NA,"WSW",25.2,46.8,1014,1014.5,0.9,"0.0/1h",8,8,0.2,26,NA,NA,NA,NA,NA
6260,2021-12-30 14:00:00,13.4,11.7,"89",NA,NA,"WSW",21.6,46.8,1013.4,1013.9,0.4,"0.0/1h",8,8,0.3,20,NA,NA,NA,NA,NA
6260,2021-12-30 13:00:00,13.2,11.8,"91",NA,NA,"SW",21.6,50.4,1013.1,1013.5,0.4,"0.0/1h",8,8,0.3,21,NA,NA,NA,NA,NA
6260,2021-12-30 12:00:00,12.9,11.4,"91",NA,NA,"WSW",25.2,54,1013.3,1013.6,1.3,"0.0/6h",8,8,0.2,18,NA,NA,0,NA,NA
6260,2021-12-30 11:00:00,13.1,11.6,"91",NA,NA,"WSW",25.2,43.2,1013.1,1013.5,1.4,"0.0/1h",8,8,0.3,17,NA,NA,NA,NA,NA
6260,2021-12-30 10:00:00,13.4,11.6,"89",NA,NA,"WSW",25.2,50.4,1012.5,1013.1,1.7,"0.0/1h",8,6,0.3,15,NA,NA,NA,NA,NA
6260,2021-12-30 09:00:00,12.8,11.6,"92",NA,NA,"SW",25.2,50.4,1011.9,1012.3,1.5,"0.0/1h",8,8,0.2,13,NA,NA,NA,NA,NA
6260,2021-12-30 08:00:00,12.6,11.7,"94",NA,NA,"WSW",28.8,43.2,1011.6,1012.1,1.3,"0.0/1h",8,8,0.2,15,NA,NA,NA,NA,NA
6260,2021-12-30 07:00:00,12.5,11.9,"96",NA,NA,"WSW",21.6,43.2,1011,1011.4,0.8,"0.0/1h",8,8,0.1,12,NA,NA,NA,NA,NA
6260,2021-12-30 06:00:00,12.2,11.9,"98",NA,"9.6","SW",18,39.6,1010.5,1010.8,0.3,"5.4/24h2.0/12h",8,8,0.1,7,NA,NA,NA,2,5.4
6260,2021-12-30 05:00:00,12.1,11.8,"98",NA,NA,"WSW",18,32.4,1010.4,1010.8,0.3,"0.9/1h",8,8,0.1,3.9,NA,NA,NA,NA,NA
6260,2021-12-30 04:00:00,12.2,11.8,"97",NA,NA,"WSW",18,32.4,1010.2,1010.6,0.7,"0.1/1h",8,8,0.1,8,NA,NA,NA,NA,NA
6260,2021-12-30 03:00:00,12,11.6,"97",NA,NA,"SW",18,36,1010.1,1010.5,0.8,"0.1/1h",8,8,0.1,5,NA,NA,NA,NA,NA
6260,2021-12-30 02:00:00,11.5,11,"97",NA,NA,"SW",18,32.4,1010,1010.5,1.1,"0.0/1h",8,8,0.1,7,NA,NA,NA,NA,NA
6260,2021-12-30 01:00:00,10.7,10,"95",NA,NA,"SW",21.6,39.6,1009.4,1009.9,1.3,"0.0/1h",8,8,0.2,8,NA,NA,NA,NA,NA
6260,2021-12-30,10,9.2,"95",NA,NA,"SW",18,36,1009.3,1009.7,2.6,"0.0/6h",8,8,2.5,9,NA,NA,0,NA,NA
6260,2021-12-29 23:00:00,9.8,9,"95",NA,NA,"WSW",14.4,28.8,1008.8,1009.4,3.4,"0.0/1h",8,8,2.5,8,NA,NA,NA,NA,NA
6260,2021-12-29 22:00:00,10.1,9.2,"94",NA,NA,"WSW",14.4,32.4,1008,1008.6,3.9,"0.0/1h",8,8,2.5,8,NA,NA,NA,NA,NA
6260,2021-12-29 21:00:00,11.5,9.4,"87",NA,NA,"WSW",18,36,1006.6,1007.1,3.4,"0.0/1h",8,8,2.5,11,NA,NA,NA,NA,NA
6260,2021-12-29 20:00:00,11.9,10.6,"92",NA,NA,"WSW",18,36,1005.5,1006,2.9,"0.0/1h",8,8,2.5,13,NA,NA,NA,NA,NA
6260,2021-12-29 19:00:00,12,11.3,"95",NA,NA,"WSW",14.4,36,1004.2,1004.7,1.7,"0.0/1h",8,6,0.2,14,NA,NA,NA,NA,NA
6260,2021-12-29 18:00:00,11.5,11.2,"98","11.5",NA,"WSW",18,32.4,1003.2,1003.7,0.3,"4.0/12h",8,8,0.2,6,NA,NA,NA,4,NA
6260,2021-12-29 17:00:00,10.1,10,"99",NA,NA,"SSW",14.4,25.2,1002.7,1003.1,NA,"0.9/1h",8,8,0.1,2.7,NA,NA,NA,NA,NA
6260,2021-12-29 16:00:00,9.2,9,"99",NA,NA,"S",18,32.4,1002.7,1003,NA,"0.6/1h",8,8,0.1,3.6,NA,NA,NA,NA,NA
6260,2021-12-29 15:00:00,8.8,8.6,"99",NA,NA,"SSE",14.4,25.2,1002.9,1003.4,NA,"2.0/1h",8,8,0.1,6,NA,NA,NA,NA,NA
6260,2021-12-29 14:00:00,8.6,8.2,"97",NA,NA,"SSE",10.8,21.6,1003.5,1003.9,NA,"0.6/1h",8,8,0.2,4.7,NA,NA,NA,NA,NA
6260,2021-12-29 13:00:00,8.8,7.6,"92",NA,NA,"SSE",10.8,21.6,1004.2,1004.6,NA,"0.0/1h",8,8,1.5,14,NA,NA,NA,NA,NA
6260,2021-12-29 12:00:00,8.8,7.5,"92",NA,NA,"S",10.8,21.6,1005,1005.3,NA,"0.0/6h",8,8,2.5,15,NA,NA,0,NA,NA
6260,2021-12-29 11:00:00,8.7,7.5,"92",NA,NA,"S",10.8,14.4,1005.2,1005.6,NA,"0.0/1h",8,8,2.5,19,NA,NA,NA,NA,NA
6260,2021-12-29 10:00:00,8.6,7.7,"94",NA,NA,"SSW",10.8,18,1005.8,1006.1,0.5,"0.0/1h",8,8,0.6,14,NA,NA,NA,NA,NA
6260,2021-12-29 09:00:00,8.4,7.7,"95",NA,NA,"SSW",7.2,14.4,1005.9,1006.3,1.5,"0.0/1h",8,8,0.6,14,NA,NA,NA,NA,NA
6260,2021-12-29 08:00:00,8.5,8,"97",NA,NA,"SW",7.2,14.4,1005.7,1006.1,1.6,"0.0/1h",8,8,0.6,11,NA,NA,NA,NA,NA
6260,2021-12-29 07:00:00,8.8,8.1,"95",NA,NA,"W",10.8,21.6,1005.1,1005.6,1.8,"0.0/1h",8,7,0.3,12,NA,NA,NA,NA,NA
6260,2021-12-29 06:00:00,8.8,8.3,"97",NA,"8.5","W",10.8,28.8,1004.4,1004.8,1.9,"6.8/24h2.0/12h",8,7,0.2,10,NA,NA,NA,2,6.8
6260,2021-12-29 05:00:00,8.9,8.6,"98",NA,NA,"W",10.8,28.8,1004,1004.5,2.3,"0.2/1h",8,7,0.1,4.1,NA,NA,NA,NA,NA
6260,2021-12-29 04:00:00,9,8.4,"96",NA,NA,"W",10.8,21.6,1003.4,1003.8,2.8,"0.0/1h",8,8,0.2,15,NA,NA,NA,NA,NA
6260,2021-12-29 03:00:00,9,8.4,"96",NA,NA,"W",10.8,25.2,1002.3,1002.9,3.3,"0.0/1h",8,8,0.2,13,NA,NA,NA,NA,NA
6260,2021-12-29 02:00:00,9,8.6,"97",NA,NA,"W",14.4,25.2,1001.8,1002.2,3.6,"0.3/1h",8,7,0.2,4.5,NA,NA,NA,NA,NA
6260,2021-12-29 01:00:00,9,8.7,"98",NA,NA,"W",14.4,28.8,1000.5,1001,3.7,"0.3/1h",8,8,0.1,4.5,NA,NA,NA,NA,NA
6260,2021-12-29,9,8.7,"98",NA,NA,"W",14.4,36,999,999.6,3.8,"1.0/6h",8,8,0.1,6,NA,NA,1,NA,NA
6260,2021-12-28 23:00:00,8.9,8.6,"98",NA,NA,"W",14.4,32.4,998.2,998.6,4.2,"0.1/1h",8,8,0.1,3.8,NA,NA,NA,NA,NA
6260,2021-12-28 22:00:00,9,8.6,"97",NA,NA,"W",18,36,996.8,997.3,4.9,"0.0/1h",8,8,0.1,3.2,NA,NA,NA,NA,NA
6260,2021-12-28 21:00:00,9,8.6,"97",NA,NA,"W",18,43.2,995.3,995.8,4.6,"0.0/1h",8,8,0.1,5,NA,NA,NA,NA,NA
6260,2021-12-28 20:00:00,9,8.7,"98",NA,NA,"W",18,43.2,993.9,994.4,4.2,"0.6/1h",8,8,0.1,2.7,NA,NA,NA,NA,NA
6260,2021-12-28 19:00:00,9,8.7,"98",NA,NA,"W",14.4,25.2,991.9,992.4,2.9,"0.1/1h",8,8,0.1,4.5,NA,NA,NA,NA,NA
6260,2021-12-28 18:00:00,8.6,8.1,"97","10.7",NA,"WSW",10.8,32.4,990.7,991.2,2.4,"5.0/12h",8,8,0.1,6,NA,NA,NA,5,NA
6260,2021-12-28 17:00:00,8,7.6,"97",NA,NA,"SW",14.4,25.2,989.8,990.2,1.9,"0.1/1h",8,6,0.2,3.1,NA,NA,NA,NA,NA
6260,2021-12-28 16:00:00,8.3,6.8,"90",NA,NA,"SW",14.4,28.8,989,989.5,1.3,"0.0/1h",8,5,0.3,12,NA,NA,NA,NA,NA
6260,2021-12-28 15:00:00,9.3,6.2,"81",NA,NA,"WSW",18,46.8,988.4,988.8,1,"0.0/1h",8,8,0.6,14,NA,NA,NA,NA,NA
6260,2021-12-28 14:00:00,10.1,6.6,"79",NA,NA,"SW",21.6,46.8,987.9,988.3,NA,"0.0/1h",8,6,0.6,11,NA,NA,NA,NA,NA
